Name,Organization,Date,Location,Profile Link
Abadullah Hananzai,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,https://cpj.org/data/people/abadullah-hananzai/
Abay Hailu,Agiere,"February 9, 1998",Ethiopia,https://cpj.org/data/people/abay-hailu/
Abd al-Karim al-Ezzo,Freelance,"December 21, 2012",Syria,https://cpj.org/data/people/abd-al-karim-al-ezzo/
Abdallah Alwan,"Holy Quran Radio,Midan,Mugtama,Al-Jazeera","December 18, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdallah-alwan/
Abdallah Bouhachek,Révolution et Travail,"February 10, 1996",Algeria,https://cpj.org/data/people/abdallah-bouhachek/
Abdallah Iyad Breis,Rawafed educational channel,"January 8, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdallah-iyad-breis/
Abdel Aziz Mahmoud Hasoun,Masar Press,"September 5, 2013",Syria,https://cpj.org/data/people/abdel-aziz-mahmoud-hasoun/
Abdel Karim al-Oqda,Shaam News Network,"September 19, 2012",Syria,https://cpj.org/data/people/abdel-karim-al-oqda/
Abdel Karim al-Rubai,Al-Sabah,"September 9, 2006",Iraq,https://cpj.org/data/people/abdel-karim-al-rubai/
Abdel Karim Nazir Ismail,Freelance,"January 31, 2013",Syria,https://cpj.org/data/people/abdel-karim-nazir-ismail/
Abdel Rahman al-Tanani,Freelance,"October 18, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdel-rahman-al-tanani/
Abdel Sattar Abdel Karim,Al Ta'akhy,"February 1, 2004",Iraq,https://cpj.org/data/people/abdel-sattar-abdel-karim/
Abdelhamid Benmeni,Algérie-Actualité,"August 9, 1993",Algeria,https://cpj.org/data/people/abdelhamid-benmeni/
Abdelhamid Yahiaoui,El-Chaab,"January 12, 1995",Algeria,https://cpj.org/data/people/abdelhamid-yahiaoui/
Abdelkader Hireche,Algerian Television (ENTV),"February 28, 1994",Algeria,https://cpj.org/data/people/abdelkader-hireche/
Abdelqadir Fassouk,Arraed Satellite TV,"July 21, 2016",Libya,https://cpj.org/data/people/abdelqadir-fassouk/
Abderrahmane Chergou,Freelance,"September 28, 1993",Algeria,https://cpj.org/data/people/abderrahmane-chergou/
Abdiaziz Ali,Radio Shabelle,"September 27, 2016",Somalia,https://cpj.org/data/people/abdiaziz-ali/
Abdiaziz Mohamud Guled,Radio Mogadishu,"November 20, 2021",Somalia,https://cpj.org/data/people/abdiaziz-mohamud-guled/
Abdihared Osman Aden,Shabelle Media Network,"January 18, 2013",Somalia,https://cpj.org/data/people/abdihared-osman-aden/
Abdinasir Abdulle Ga’al,Somali National Army Radio,"August 14, 2019",Somalia,https://cpj.org/data/people/abdinasir-abdulle-gaal/
Abdirahman Yasin Ali,Radio Hamar,"September 20, 2012",Somalia,https://cpj.org/data/people/abdirahman-yasin-ali/
Abdirisak Mohamed Warsame,Radio Shabelle,"May 22, 2009",Somalia,https://cpj.org/data/people/abdirisak-mohamed-warsame/
Abdirizak Ali Abdi,"Radio Daljir,Horn Cable TV","November 16, 2014",Somalia,https://cpj.org/data/people/abdirizak-ali-abdi/
Abdisalan Sheikh Hassan,Freelance,"December 18, 2011",Somalia,https://cpj.org/data/people/abdisalan-sheikh-hassan/
Abdisatar Daher Sabriye,Radio Mogadishu,"September 20, 2012",Somalia,https://cpj.org/data/people/abdisatar-daher-sabriye/
Abdiwali Ali Hassan,"Freelance; Universal TV, Radio Kulmiye","February 16, 2020",Somalia,https://cpj.org/data/people/abdiwali-ali-hassan/
Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,https://cpj.org/data/people/abdul-aziz-shaheen/
Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,https://cpj.org/data/people/abdul-hakim-shimul/
Abdul Hameed al-Yousef,Kafr Rumah Media Office,"November 10, 2019",Syria,https://cpj.org/data/people/abdul-hameed-al-yousef/
Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,https://cpj.org/data/people/abdul-haq-baloch/
Abdul Manan Arghand,Kabul News,"April 25, 2018",Afghanistan,https://cpj.org/data/people/abdul-manan-arghand/
Abdul Nasser Haj Hamdan,Media Office in Binnish,"February 20, 2020",Syria,https://cpj.org/data/people/abdul-nasser-haj-hamdan/
Abdul Qadir Hajizai,WASH TV,"May 28, 2012",Pakistan,https://cpj.org/data/people/abdul-qadir-hajizai/
Abdul Qodus,Aryana TV,"July 22, 2006",Afghanistan,https://cpj.org/data/people/abdul-qodus/
Abdul Raheem Kour Hassan,Watan FM,Unknown in 2013,Syria,https://cpj.org/data/people/abdul-raheem-kour-hassan/
Abdul Rahman Bahr,Palestine Breaking News,"October 5, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdul-rahman-bahr/
Abdul Rahman Ismael Yassin,Hammouriyeh Media Office,"February 20, 2018",Syria,https://cpj.org/data/people/abdul-rahman-ismael-yassin/
Abdul Rahman Saima,Raqami TV,"March 14, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdul-rahman-saima/
Abdul Razzak Johra,Royal TV,"November 3, 2008",Pakistan,https://cpj.org/data/people/abdul-razzak-johra/
Abdul Salam Kanaan,Al-Jisr TV,"October 31, 2016",Syria,https://cpj.org/data/people/abdul-salam-kanaan/
Abdul Samad Rohani,BBC and Pajhwok Afghan News,"June 7 or 8, 2008",Afghanistan,https://cpj.org/data/people/abdul-samad-rohani/
Abdul Shariff,freelance,"January 9, 1994",South Africa,https://cpj.org/data/people/abdul-shariff/
Abdul Wahab,Express News,"December 6, 2010",Pakistan,https://cpj.org/data/people/abdul-wahab/
Abdul-Rahim Nasrallah al-Shimari,Al-Shaabiya,"October 12, 2006",Iraq,https://cpj.org/data/people/abdul-rahim-nasrallah-al-shimari/
Abdulai Jumah Jalloh,African Champion,"February 3, 1999",Sierra Leone,https://cpj.org/data/people/abdulai-jumah-jalloh/
Abdulhadi Habib,"Al-Manara News Agency,HQ media","October 16, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdulhadi-habib/
Abdulkadir Ahmed,Freelance,"December 5, 2014",Somalia,https://cpj.org/data/people/abdulkadir-ahmed/
Abdulkadir Mahad Moallim Kaskey,Radio Banadir,"August 24, 2007",Somalia,https://cpj.org/data/people/abdulkadir-mahad-moallim-kaskey/
Abdulkhafar Abdulkadir,freelance,"December 3, 2009",Somalia,https://cpj.org/data/people/abdulkhafar-abdulkadir/
Abdullah al-Qadry,Belqees TV,"April 13, 2018",Yemen,https://cpj.org/data/people/abdullah-al-qadry/
Abdullah Darwish,Al Aqsa TV,"December 1, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/abdullah-darwish/
Abdullah Mire Hashi,Darul Sunnah,"October 27, 2018",Somalia,https://cpj.org/data/people/abdullah-mire-hashi/
Abdullah Mohammad Ghannam,Shahba Press Agency,"July 14, 2016",Syria,https://cpj.org/data/people/abdullah-mohammad-ghannam/
Abdullah Qabil,"Yemen Youth TV, Belqees TV","May 21, 2015",Yemen,https://cpj.org/data/people/abdullah-qabil/
Abdullahi Madkeer,DMC Radio,"January 24, 2003",Somalia,https://cpj.org/data/people/abdullahi-madkeer/
Abdullahi Osman Moalim,"Jubbaland TV, Codka Hiraan","September 13, 2017",Somalia,https://cpj.org/data/people/abdullahi-osman-moalim/
Abdulmalik Akhmedilov,Hakikat and Sogratl,"August 11, 2009",Russia,https://cpj.org/data/people/abdulmalik-akhmedilov/
Abdulrazak Hashim Ayal al-Khakani,Jumhuriyat al-Iraq,"February 5, 2007",Iraq,https://cpj.org/data/people/abdulrazak-hashim-ayal-al-khakani/
Abshir Ali Gabre,Radio Jowhar,"May 16, 2007",Somalia,https://cpj.org/data/people/abshir-ali-gabre/
Abu Taher Md Turab,"Daily Jalalabad,Daily Naya Diganta","July 19, 2024",Bangladesh,https://cpj.org/data/people/abu-taher-md-turab/
Abukar Hassan Mohamoud,Somaliweyn Radio,"February 28, 2012",Somalia,https://cpj.org/data/people/abukar-hassan-mohamoud/
Achyutananda Sahu,Doordarshan,"October 30, 2018",India,https://cpj.org/data/people/achyutananda-sahu/
Adam Juma,Raja FM,"January 25, 2015",South Sudan,https://cpj.org/data/people/adam-juma/
Adam Ward,WDBJ7,"August 26, 2015",USA,https://cpj.org/data/people/adam-ward/
Adeeb al-Janani,Belqees TV,"December 30, 2020",Yemen,https://cpj.org/data/people/adeeb-al-janani/
Adel Naji al-Mansouri,Al-Alam,"July 29, 2006",Iraq,https://cpj.org/data/people/adel-naji-al-mansouri/
Adel Sayegh,Salaheddin TV,August 2015,Iraq,https://cpj.org/data/people/adel-sayegh/
Adel Zerrouk,Al-Rai,"June 14, 2001",Algeria,https://cpj.org/data/people/adel-zerrouk/
Adel Zorob,Freelance,"December 19, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/adel-zorob/
Adham Hassouna,Freelance,"December 1, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/adham-hassouna/
Adil Bunyatov,Reuters TV and Turan News Agency,"March 17, 1995",Azerbaijan,https://cpj.org/data/people/adil-bunyatov/
Adlan Khasanov,Reuters,"May 9, 2004",Russia,https://cpj.org/data/people/adlan-khasanov/
Adnan al-Bayati,TG3,"July 23, 2005",Iraq,https://cpj.org/data/people/adnan-al-bayati/
Adnan al-Safi,Al-Anwar,"July 27, 2007",Iraq,https://cpj.org/data/people/adnan-al-safi/
Adnan Khairallah,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,https://cpj.org/data/people/adnan-khairallah/
Adolfo Isuiza Urquia,Radio Tropical,"August 23, 1992",Peru,https://cpj.org/data/people/adolfo-isuiza-urquia/
Adolphe Missamba Ndengi Kavula,Nsemo,"November 12, 1994",Democratic Republic of the Congo,https://cpj.org/data/people/adolphe-missamba-ndengi-kavula/
Adrián Silva Moreno,Freelance,"November 14, 2012",Mexico,https://cpj.org/data/people/adrian-silva-moreno/
Agus Muliawan,Asia Press International,"September 25, 1999",East Timor,https://cpj.org/data/people/agus-muliawan/
Ahmad Hallak,Al-Buraq Media Institution,"August 2, 2016",Syria,https://cpj.org/data/people/ahmad-hallak/
Ahmad Jamal al Madhoun,Al-Rai,"December 24, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmad-jamal-al-madhoun/
Ahmad Kareem,Kurdistan TV,"August 25, 2003",Iraq,https://cpj.org/data/people/ahmad-kareem/
Ahmad Mohamed Mahmoud,Al-Ta'awun,"February 4, 2011",Egypt,https://cpj.org/data/people/ahmad-mohamed-mahmoud/
Ahmad Omaid Khpalwak,"Pajhwok Afghan News, BBC","July 28, 2011",Afghanistan,https://cpj.org/data/people/ahmad-omaid-khpalwak/
Ahmad Sha'ban,Al-Shaabiya,"October 12, 2006",Iraq,https://cpj.org/data/people/ahmad-shaban/
Ahmed (aka Hakim) Takouchet,Radio Cirta,"June 18, 1995",Algeria,https://cpj.org/data/people/ahmed-aka-hakim-takouchet/
Ahmed Abdel Gawad,"Al-Akhbar, Misr25","August 14, 2013",Egypt,https://cpj.org/data/people/ahmed-abdel-gawad/
Ahmed Abdul Samad,Dijlah TV,"January 10, 2020",Iraq,https://cpj.org/data/people/ahmed-abdul-samad/
Ahmed Abu al-Hamza,"SMART News Agency, Hama Media Center","November 6, 2015",Syria,https://cpj.org/data/people/ahmed-abu-al-hamza/
Ahmed Abu Al-Rous,Fourth Estate,"January 15, 2025",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-abu-al-rous/
Ahmed Abu Hussein,"Voice of the People Radio,Bisan News Agency","April 25, 2018",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-abu-hussein/
Ahmed Abu Mhadi,Al-Aqsa TV,"October 25, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-abu-mhadi/
Ahmed Abu Sharia,Freelance,"November 19, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-abu-sharia/
Ahmed Abu Skheil,Al-Elamya News Agency,"November 9, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-abu-skheil/
Ahmed Adam,Al-Mada,"May 15, 2005",Iraq,https://cpj.org/data/people/ahmed-adam/
Ahmed Addow Anshur,Shabelle Media Network,"May 24, 2012",Somalia,https://cpj.org/data/people/ahmed-addow-anshur/
Ahmed Adnan al-Ashlaq,Shaam News Network,"May 27, 2012",Syria,https://cpj.org/data/people/ahmed-adnan-al-ashlaq/
Ahmed Al Shayyah,Freelance,"January 15, 2025",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-al-shayyah/
Ahmed al-Assam,Freelance,"May 28, 2012",Syria,https://cpj.org/data/people/ahmed-al-assam/
Ahmed Al-Louh,"freelance reporter,Al Jazeera","December 15, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-al-louh/
Ahmed Al-Qara,Freelance,"November 10, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/ahmed-al-qara/
Ahmed al-Rubai'i,Al-Sabah,"mid-April, 2005",Iraq,https://cpj.org/data/people/ahmed-al-rubaii/
